Rok,Značka,Model,Motorizácia,Spotreba
2025,LEXUS,ES 300h,2.5,5.3
2025,Lamborghini,Revuelto,6.5,19.6
2025,Land Rover,Range Rover Velar P340 MHEV,3.0,10.7
2025,Land Rover,Range Rover Velar,2.0,10.2
2025,Land Rover,Range Rover Velar P400 MHEV,3.0,11.2
2025,Land Rover,Range Rover Evoque,2.0,10.7
2025,Land Rover,Discovery Sport,2.0,11.8
2025,Land Rover,Range Rover Sport MHEV,4.4,12.4
2025,Land Rover,Discovery,2.0,11.2
2025,Land Rover,Defender 110,2.0,12.4
2025,Land Rover,Defender 130,5.0,14.7
2025,Land Rover,Range Rover SV MHEV,4.4,13.1
2025,Land Rover,Range Rover SV LWB MHEV,4.4,13.1
2025,Land Rover,Range Rover Sport SVR MHEV,4.4,13.1
2025,Land Rover,Defender 110,5.0,14.7
2025,Land Rover,Range Rover P400 MHEV,3.0,11.2
2025,Land Rover,Defender 130 Outbound,3.0,13.1
2025,Land Rover,Defender 130 P300 MHEV,3.0,13.1
2025,Land Rover,Defender 130 P400 MHEV,3.0,12.4
2025,Land Rover,Defender 110 MHEV,3.0,12.4
2025,Land Rover,Defender 90,5.0,14.7
2025,Land Rover,Defender 90 MHEV,3.0,12.4
2025,Land Rover,Range Rover Sport P360 MHEV,3.0,10.7
2025,Land Rover,Range Rover P400 LWB MHEV,3.0,11.2
2025,Land Rover,Range Rover Sport P400 MHEV,3.0,10.7
2025,Land Rover,Range Rover MHEV,4.4,12.4
2025,Land Rover,Range Rover LWB MHEV,4.4,13.1
2025,Land Rover,Discovery MHEV,3.0,12.4
2025,Land Rover,Defender 90,2.0,12.4
2025,Lincoln,AVIATOR AWD,3.0,11.8
2025,Lincoln,CORSAIR AWD,2.0,9.8
2025,Lincoln,AVIATOR RWD,3.0,11.2
2025,Lincoln,NAUTILUS HEV AWD,2.0,7.8
2025,Lincoln,CORSAIR FWD,2.0,9.4
2025,Lincoln,NAUTILUS AWD,2.0,9.8
2025,MASERATI,MC20 Spyder,3.0,13.1
2025,MASERATI,Grecale Modena,2.0,9.8
2025,MASERATI,MC20,3.0,13.1
2025,MAZDA,CX-30 4WD,2.5,9.4
2025,MAZDA,MAZDA CX-70 4WD,3.3,9.4
2025,MAZDA,CX-5 4WD,2.5,8.4
2025,MAZDA,CX-5 4WD,2.5,9.8
2025,MAZDA,MAZDA CX-50 4WD,2.5,9.4
2025,MAZDA,MAZDA CX-50 4WD,2.5,8.4
2025,MAZDA,MAZDA3 5-Door 2WD,2.5,7.8
2025,MAZDA,MAZDA3 5-Door 2WD,2.5,7.8
2025,MAZDA,MAZDA3 5-Door 4WD,2.5,9.0
2025,MAZDA,MAZDA3 5-Door 4WD,2.5,8.1
2025,MAZDA,CX-5 4WD,2.5,9.4
2025,MAZDA,MAZDA CX-70 4WD,3.3,9.4
2025,MAZDA,CX-30 4WD,2.5,8.1
2025,MAZDA,MAZDA CX-90 4WD,3.3,9.4
2025,MAZDA,MAZDA CX-90 4WD,3.3,9.4
2025,MAZDA,MAZDA3 4-Door 2WD,2.5,7.6
2025,MAZDA,MAZDA3 4-Door 4WD,2.5,8.7
2025,MAZDA,MAZDA3 4-Door 4WD,2.5,7.8
2025,Mercedes-Benz,GLB 250,2.0,8.4
2025,Mercedes-Benz,S 580 4MATIC Maybach,4.0,11.8
2025,Mercedes-Benz,S 580 4MATIC,4.0,11.8
2025,Mercedes-Benz,CLA 250 4MATIC,2.0,8.1
2025,Mercedes-Benz,E 350,2.0,8.4
2025,Mercedes-Benz,E 350 4MATIC,2.0,8.7
2025,Mercedes-Benz,CLA 250,2.0,7.8
2025,Mercedes-Benz,C 300 4MATIC,2.0,8.7
2025,Mercedes-Benz,C 300,2.0,8.1
2025,Mercedes-Benz,AMG CLA 45 S 4MATIC,2.0,10.2
2025,Mercedes-Benz,AMG CLA 35 4MATIC,2.0,9.4
2025,Mercedes-Benz,CLE 300 4MATIC (Coupe),2.0,8.7
2025,Mercedes-Benz,AMG GLC 43 4MATIC (coupe),2.0,11.2
2025,Mercedes-Benz,GLS 580 4MATIC,4.0,14.7
2025,Mercedes-Benz,CLE 300 4MATIC (convertible),2.0,9.0
2025,Mercedes-Benz,AMG GT 43 (coupe),2.0,10.7
2025,Mercedes-Benz,AMG CLE 53 4MATIC+ (coupe),3.0,10.2
2025,Mercedes-Benz,AMG CLE 53 4MATIC+ (convertible),3.0,10.7
2025,Mercedes-Benz,E 450 4MATIC,3.0,9.4
2025,Mercedes-Benz,GLS 600 4MATIC Maybach,4.0,15.7
2025,Mercedes-Benz,S 500 4MATIC,3.0,9.8
2025,Mercedes-Benz,AMG GLB 35 4MATIC,2.0,10.2
2025,Mercedes-Benz,AMG C 43 4MATIC,2.0,10.7
2025,Mercedes-Benz,CLE 450 4MATIC (Convertible),3.0,9.0
2025,Mercedes-Benz,AMG GLC 43 4MATIC,2.0,11.2
2025,Mercedes-Benz,GLS 450 4MATIC,3.0,11.2
2025,Mercedes-Benz,AMG G 63,4.0,15.7
2025,Mercedes-Benz,AMG GLE 53 4MATIC+,3.0,11.8
2025,Mercedes-Benz,AMG GLE 53 4MATIC+ (coupe),3.0,11.8
2025,Mercedes-Benz,E 450 4MATIC All-Terrain Wagon,3.0,9.4
